CountyName,State Name,CountyFIPS code,Crude Prevalence Estimate,95% Confidence Interval for Crude Estimates,Age-adjusted Prevalence Estimate,95% Confidence Interval for Age-adjusted Estimates
Autauga,Alabama,01001,24.5,23.3-25.8,24.9,23.6-26.4
Baldwin,Alabama,01003,24.6,23.3-26,25.7,24.3-27.1
Barbour,Alabama,01005,23.7,22.7-24.8,24.2,23.1-25.3
Bibb,Alabama,01007,24.8,23.6-26.1,25.1,23.9-26.4
Blount,Alabama,01009,26.7,25.3-28.1,27.5,26-29
Bullock,Alabama,01011,22.0,21-23.1,22.4,21.3-23.6
Butler,Alabama,01013,23.9,22.9-24.9,24.9,23.9-26
Calhoun,Alabama,01015,26.4,25.2-27.7,27.0,25.7-28.3
Chambers,Alabama,01017,24.1,23-25.2,24.9,23.8-26.1
Cherokee,Alabama,01019,25.9,24.5-27.3,27.5,26-28.9
Chilton,Alabama,01021,27.0,25.7-28.4,27.6,26.3-29.1
Choctaw,Alabama,01023,23.7,22.7-24.8,25.3,24.1-26.5
Clarke,Alabama,01025,23.6,22.6-24.7,24.7,23.6-25.8
Clay,Alabama,01027,26.1,24.7-27.6,27.4,25.9-29
Cleburne,Alabama,01029,26.8,25.4-28.4,27.9,26.3-29.6
Coffee,Alabama,01031,26.1,24.9-27.4,26.7,25.5-28
Colbert,Alabama,01033,24.8,23.6-26.1,25.7,24.5-27.2
Conecuh,Alabama,01035,23.7,22.7-24.8,25.1,23.9-26.3
Coosa,Alabama,01037,23.7,22.7-24.7,25.2,24-26.3
Covington,Alabama,01039,25.5,24.3-26.8,26.8,25.5-28.3
Crenshaw,Alabama,01041,25.0,23.7-26.3,25.9,24.6-27.3
Cullman,Alabama,01043,25.9,24.5-27.5,26.7,25.1-28.3
Dale,Alabama,01045,25.0,23.8-26.3,25.5,24.3-26.9
Dallas,Alabama,01047,23.0,21.9-24.2,23.8,22.6-25.1
DeKalb,Alabama,01049,27.1,25.7-28.6,27.7,26.2-29.2
Elmore,Alabama,01051,25.9,24.7-27.3,26.2,25-27.6
Escambia,Alabama,01053,24.8,23.8-25.8,25.4,24.3-26.5
Etowah,Alabama,01055,26.7,25.5-28,27.5,26.2-28.9
Fayette,Alabama,01057,27.8,26.4-29.2,29.1,27.7-30.6
Franklin,Alabama,01059,26.5,25.1-27.9,27.0,25.6-28.4
